1997 	Décembre 	61 610
1997 	Novembre 	58 508
1997 	Octobre 	61 058
1997 	Septembre 	59 341
1997 	Août 	60 381
1997 	Juillet 	65 170
1997 	Juin 	61 616
1997 	Mai 	63 004
1997 	Avril 	61 726
1997 	Mars 	59 007
1997 	Février 	55 141
1997 	Janvier 	60 206
1996 	Décembre 	61 657
1996 	Novembre 	59 994
1996 	Octobre 	62 493
1996 	Septembre 	60 767
1996 	Août 	61 124
1996 	Juillet 	66 108
1996 	Juin 	62 819
1996 	Mai 	63 232
1996 	Avril 	59 500
1996 	Mars 	60 400
1996 	Février 	56 692
1996 	Janvier 	59 552
1995 	Décembre 	61 361
1995 	Novembre 	59 746
1995 	Octobre 	63 788
1995 	Septembre 	61 638
1995 	Août 	62 474
1995 	Juillet 	65 736
1995 	Juin 	63 217
1995 	Mai 	62 061
1995 	Avril 	57 521
1995 	Mars 	60 020
1995 	Février 	53 474
1995 	Janvier 	58 573
1994 	Décembre 	60 823
1994 	Novembre 	58 605
1994 	Octobre 	60 406
1994 	Septembre 	57 880
1994 	Août 	59 604
1994 	Juillet 	63 826
1994 	Juin 	60 951
1994 	Mai 	62 801
1994 	Avril 	58 486
1994 	Mars 	58 381
1994 	Février 	52 901
1994 	Janvier 	56 329
1993 	Décembre 	59 242
1993 	Novembre 	56 417
1993 	Octobre 	59 102
1993 	Septembre 	59 787
1993 	Août 	60 699
1993 	Juillet 	64 789
1993 	Juin 	61 634
1993 	Mai 	60 138
1993 	Avril 	58 898
1993 	Mars 	58 950
1993 	Février 	53 452
1993 	Janvier 	58 502
1992 	Décembre 	61 264
1992 	Novembre 	58 132
1992 	Octobre 	61 693
1992 	Septembre 	61 773
1992 	Août 	62 163
1992 	Juillet 	66 802
1992 	Juin 	62 280
1992 	Mai 	64 604
1992 	Avril 	61 694
1992 	Mars 	62 478
1992 	Février 	58 811
1992 	Janvier 	61 964
1991 	Décembre 	62 536
1991 	Novembre 	60 402
1991 	Octobre 	64 147
1991 	Septembre 	63 655
1991 	Août 	64 545
1991 	Juillet 	68 810
1991 	Juin 	64 174
1991 	Mai 	65 687
1991 	Avril 	62 560
1991 	Mars 	62 463
1991 	Février 	57 319
1991 	Janvier 	62 758
1990 	Décembre 	63 359
1990 	Novembre 	61 404
1990 	Octobre 	64 688
1990 	Septembre 	61 992
1990 	Août 	64 823
1990 	Juillet 	68 843
1990 	Juin 	65 000
1990 	Mai 	67 307
1990 	Avril 	62 139
1990 	Mars 	63 230
1990 	Février 	56 701
1990 	Janvier 	62 921
1989 	Décembre 	64 440
1989 	Novembre 	62 184
1989 	Octobre 	64 292
1989 	Septembre 	60 567
1989 	Août 	64 007
1989 	Juillet 	68 170
1989 	Juin 	66 118
1989 	Mai 	68 364
1989 	Avril 	64 191
1989 	Mars 	64 569
1989 	Février 	57 666
1989 	Janvier 	60 905
1988 	Décembre 	63 419
1988 	Novembre 	61 714
1988 	Octobre 	64 432
1988 	Septembre 	64 609
1988 	Août 	66 037
1988 	Juillet 	66 600
1988 	Juin 	64 456
1988 	Mai 	68 600
1988 	Avril 	63 550
1988 	Mars 	65 930
1988 	Février 	59 563
1988 	Janvier 	62 358
1987 	Décembre 	62 884
1987 	Novembre 	59 689
1987 	Octobre 	63 511
1987 	Septembre 	63 190
1987 	Août 	64 129
1987 	Juillet 	67 974
1987 	Juin 	68 275
1987 	Mai 	69 074
1987 	Avril 	64 830
1987 	Mars 	64 507
1987 	Février 	57 137
1987 	Janvier 	62 628
1986 	Décembre 	64 328
1986 	Novembre 	60 307
1986 	Octobre 	65 099
1986 	Septembre 	64 206
1986 	Août 	65 760
1986 	Juillet 	67 734
1986 	Juin 	66 807
1986 	Mai 	70 208
1986 	Avril 	65 781
1986 	Mars 	65 629
1986 	Février 	58 689
1986 	Janvier 	63 920
1985 	Décembre 	63 358
1985 	Novembre 	60 909
1985 	Octobre 	64 195
1985 	Septembre 	62 793
1985 	Août 	63 905
1985 	Juillet 	69 242
1985 	Juin 	65 603
1985 	Mai 	70 206
1985 	Avril 	64 679
1985 	Mars 	64 260
1985 	Février 	56 278
1985 	Janvier 	63 003
1984 	Décembre 	62 213
1984 	Novembre 	61 239
1984 	Octobre 	64 887
1984 	Septembre 	62 899
1984 	Août 	64 674
1984 	Juillet 	68 678
1984 	Juin 	65 570
1984 	Mai 	66 841
1984 	Avril 	61 144
1984 	Mars 	63 252
1984 	Février 	58 353
1984 	Janvier 	60 189
1983 	Décembre 	60 065
1983 	Novembre 	57 089
1983 	Octobre 	60 295
1983 	Septembre 	61 396
1983 	Août 	63 518
1983 	Juillet 	68 091
1983 	Juin 	66 146
1983 	Mai 	68 829
1983 	Avril 	62 754
1983 	Mars 	62 166
1983 	Février 	57 134
1983 	Janvier 	61 042
1982 	Décembre 	62 434
1982 	Novembre 	61 178
1982 	Octobre 	64 998
1982 	Septembre 	65 181
1982 	Août 	67 083
1982 	Juillet 	70 847
1982 	Juin 	68 944
1982 	Mai 	72 406
1982 	Avril 	69 541
1982 	Mars 	69 193
1982 	Février 	60 701
1982 	Janvier 	64 717
1981 	Décembre 	65 701
1981 	Novembre 	62 119
1981 	Octobre 	65 195
1981 	Septembre 	65 325
1981 	Août 	68 330
1981 	Juillet 	71 634
1981 	Juin 	69 281
1981 	Mai 	73 189
1981 	Avril 	70 351
1981 	Mars 	68 630
1981 	Février 	60 514
1981 	Janvier 	65 214
1980 	Décembre 	64 906
1980 	Novembre 	62 887
1980 	Octobre 	67 243
1980 	Septembre 	65 719
1980 	Août 	67 362
1980 	Juillet 	71 028
1980 	Juin 	67 896
